cmake 3.29.2
features core
portfile.cmake 70b09920e3d54803e472b48fe1f320124f0fd84c68934014abec07fa384d7d15
ports.cmake 3855df80ecd84038296b7ae73271a6190f21c4af0bb1a0ca0be752a308aaa53d
post_build_checks 2
powershell 7.2.23
triplet x64-windows
triplet_abi 4556164a2cd3dd6f4742101eabb46def7e71b6e5856faa88e5d005aac12a803c-0433e2303d8e9448dd9cf29d3052811cb89f6324bfd45703cfd4ec1e4134228d-22b5e78c9974a50d4e1b1a818e58d8a926479c45
vcpkg-cmake 64a4853dc8cb10e64d01cfe6031526917b16c4433dd3b0c49f559a1f2139031b
vcpkg-cmake-config d68245ce2b2af74608e641ed126544b7484fd763d4e2a0a30c5c07881c3d0806
vcpkg.json 7df8364e8fea6a75d70d987e4239d9f84f9a7f84c9cb58ab34d10e690f900a46
vcpkg_from_git 96ed81968f76354c00096dd8cd4e63c6a235fa969334a11ab18d11c0c512ff58
vcpkg_from_github b743742296a114ea1b18ae99672e02f142c4eb2bef7f57d36c038bedbfb0502f
vcpkg_install_copyright ba6c169ab4e59fa05682e530cdeb883767de22c8391f023d4e6844a7ec5dd3d2
